event_name,start_date,end_date,event_type,category_tags,target_audience,base_post_text
Масленица,2026-02-20,2026-02-26,праздник,"молочная продукция,мёд,варенье,выпечка","гурманы; для родителей","🥞 Масленица идёт! Встречайте весну с нашими фермерскими продуктами. Густая сметана для блинов, душистый мёд и домашнее варенье — всё с понятным составом и без химии. Успейте заказать к праздничному столу!"
8 Марта,2026-03-01,2026-03-08,праздник,"сыр,кондитерские изделия,чай,зефир","для подарка; забота о здоровье","🌷 Подарок, который точно оценят. Нежный крафтовый сыр, зефир ручной работы и ароматный чай — готовый набор для поздравления. Без химии, с душой и заботой о здоровье."
Пасхальная неделя,2026-03-30,2026-04-05,праздник,"яйцо,молочная продукция,травы","для родителей; гурманы","🐣 Пасхальный стол без компромиссов. Фермерские яйца, свежий творог и душистые травы для кулича. Всё выращено с заботой — можно смело давать детям."
Сезон клубники,2026-06-01,2026-06-30,сезонность,"ягоды,варенье,фрукты","для спорта; забота о здоровье","🍓 Первая ягода! Сладкая клубника прямо с грядки. Идеально для летних десертов и полезных перекусов. Без пестицидов — только солнце и вода."
Медовый Спас,2026-08-14,2026-08-14,праздник,"мёд,травы,орехи","забота о здоровье; для подарка","🍯 Медовый Спас — укрепи иммунитет перед осенью. Свежий мёд этого сезона, целебные травяные сборы и отборные орехи. Позаботьтесь о здоровье всей семьи."
Яблочный Спас,2026-08-19,2026-08-19,праздник,"фрукты,варенье,соки","для родителей; гурманы","🍎 Яблочный Спас — печём шарлотку! Сочные фермерские яблоки, натуральное варенье и свежевыжатые соки. Вкус детства без химии."
Школьная ярмарка,2026-08-20,2026-08-31,ивент,"кондитерские изделия,сухофрукты,орехи","для родителей; для спорта","🎒 Здоровый перекус для школьника. Ореховые миксы, натуральные пастилки и сухофрукты. Никакого сахара и консервантов — только польза."
Праздник урожая,2026-09-01,2026-09-22,сезонность,"овощи,фрукты,соленья","гурманы; эко","🎃 Урожай собран — пора делать запасы. Фермерские овощи, фрукты и домашние соленья к вашему столу. Выращено на своей земле, с уважением к природе."
Новогодние наборы,2026-12-01,2026-12-31,праздник,"мясная продукция,сыр,кондитерские изделия","для подарка; гурманы","🎄 Новый год без суеты. Готовые подарочные наборы: фермерское мясо, сырная тарелка и имбирные пряники. Закажите заранее — праздник удался!"
Чёрная пятница,2026-11-27,2026-11-29,ивент,"молочная продукция,сыр,мясная продукция,мёд,кондитерские изделия,чай,варенье,орехи,фрукты,овощи","для подарка; для себя","🖤 Чёрная пятница на «Своё Родное»! Скидки до 30% на фермерские продукты. Запасайтесь натуральным к праздникам!"
День здорового питания,2026-10-16,2026-10-16,праздник,"овощи,фрукты,травы,орехи","забота о здоровье; для спорта","🥗 День здорового питания. Начните с чистых продуктов: овощи, зелень, орехи без химии."
